lat,lon,color,percent,count,valid
-73.22979,-32.712255,red,0.86,31,FALSE
-53.556168,16.967271,violet,0.81,48,TRUE
40.586479,68.121409,violet,0.88,10,TRUE
76.502071,94.34945,violet,0.25,31,FALSE
-82.898654,-107.630531,red,0.45,87,FALSE
-66.846004,-60.704797,indigo,0.57,47,TRUE
-79.768083,21.169159,green,0.7,90,TRUE
83.820094,157.939213,violet,0.9,2,TRUE
-89.605467,7.636427,violet,0.68,48,TRUE
74.14822,-150.127291,orange,0.73,35,TRUE
-32.025905,-123.649577,blue,0.02,61,TRUE
-66.898568,84.002457,indigo,0.14,64,FALSE
23.620167,5.225229,violet,0.06,24,TRUE
-72.088051,-142.893108,indigo,0.75,25,FALSE
-38.554654,-27.784323,orange,0.02,72,FALSE
-47.492902,-42.6747,indigo,0.26,51,FALSE
36.344895,92.876222,yellow,0.79,4,TRUE
56.494105,143.880163,yellow,0.58,9,TRUE
37.211073,-70.070596,red,0.23,56,FALSE
41.453697,44.379363,blue,0.42,86,FALSE
-82.829727,153.234845,green,0.54,86,TRUE
-71.249805,11.22836,violet,0.42,70,FALSE
-28.655873,118.901621,yellow,0.13,9,FALSE
70.631556,18.437484,orange,0.8,86,FALSE
61.021848,-125.867128,violet,0.62,62,FALSE
61.057322,-117.383783,indigo,0.66,53,TRUE
19.398091,-15.562131,indigo,0.4,36,TRUE
44.189927,80.965947,blue,0.91,95,FALSE
25.335968,-104.2456,green,0.92,81,FALSE
75.41137,179.116837,blue,0.04,85,TRUE
36.031023,120.964412,indigo,0.31,82,FALSE
-9.998651,-113.730832,red,0.47,45,FALSE
-75.516352,3.825586,green,0.93,2,TRUE
-63.822248,-39.059316,orange,0.58,28,FALSE
79.852684,20.289369,red,0.54,9,TRUE
-39.580753,-123.635908,orange,0.08,25,TRUE
-33.729785,178.174786,yellow,0.54,18,FALSE
10.65196,32.861109,red,0.38,91,TRUE
2.565284,-35.989491,blue,0.51,71,FALSE
35.512216,33.954389,orange,0.93,6,TRUE
-30.380777,117.749502,indigo,0.3,42,TRUE
67.617861,-23.990563,blue,0.97,87,TRUE
88.097309,-51.622268,indigo,0.83,44,TRUE
28.852135,148.167733,indigo,0.58,76,FALSE
-61.36967,179.728728,violet,0.32,19,FALSE
-42.532166,15.15201,violet,0.4,29,FALSE
-89.250832,7.736224,indigo,0.81,97,FALSE
-27.458018,-91.679243,red,0.05,9,TRUE
-58.74291,-38.39241,violet,0.3,1,TRUE
6.457518,99.740021,violet,0.96,11,FALSE
-40.890262,-46.26555,indigo,0.93,17,FALSE
-78.6632,-148.069287,violet,0.06,70,TRUE
25.725713,-21.29132,indigo,0.79,34,FALSE
76.755338,-52.140241,green,0.24,1,TRUE
58.518512,89.786692,red,0.95,82,FALSE
7.104538,-68.422786,red,0.01,51,TRUE
51.552303,13.931898,yellow,0.62,65,TRUE
-77.55513,116.512982,green,0.57,80,TRUE
-37.850804,50.184187,orange,0.4,35,TRUE
10.170908,-125.859954,blue,0.38,48,FALSE
-24.417102,85.993748,orange,0.31,42,TRUE
-75.536714,-68.520493,red,0.25,49,TRUE
53.547321,63.014273,green,0.51,71,FALSE
38.765804,-162.392376,green,0.84,69,TRUE
5.130876,32.783344,indigo,0.02,88,TRUE
30.26836,-130.346392,orange,0.21,1,TRUE
-53.44169,-21.362277,red,0.06,43,TRUE
1.924083,-153.592254,yellow,0.02,74,FALSE
-19.927461,95.02006,green,0.85,35,FALSE
78.59797,109.573115,red,0.38,42,TRUE
78.708321,-7.913355,orange,0.33,99,FALSE
15.400169,-126.455184,yellow,0.08,80,FALSE
-72.266366,-11.01692,indigo,0.13,40,FALSE
-88.362183,103.844849,green,0.19,40,TRUE
88.813954,-120.539287,violet,0.92,75,FALSE
58.511349,101.847955,blue,0.58,5,FALSE
-43.322776,12.750507,violet,0.58,86,TRUE
43.78028,146.571919,red,0.05,18,TRUE
41.218736,49.201451,blue,0.65,10,TRUE
-3.208201,108.103024,indigo,0.04,68,FALSE
28.665082,85.570889,blue,0.54,63,FALSE
51.834983,-130.411727,red,0.12,5,FALSE
-46.145409,-58.161786,orange,0.33,2,TRUE
51.884405,-71.958911,yellow,0.34,81,TRUE
-60.531491,-84.722877,red,0.07,14,FALSE
40.15978,108.41867,green,0.29,50,TRUE
45.35377,-21.787964,violet,0.67,91,FALSE
-16.566544,179.352865,orange,0.28,79,FALSE
83.732681,61.885402,yellow,0.53,6,FALSE
48.61396,22.47767,violet,0,30,FALSE
7.349374,-112.297589,green,0.96,74,TRUE
82.012945,152.053427,yellow,0.38,58,FALSE
82.812849,76.809068,red,0.73,76,TRUE
-18.126506,5.900109,green,0.44,46,TRUE
-8.178668,117.551457,red,0.44,4,TRUE
12.513374,-84.028214,red,0.24,6,FALSE
23.000704,134.663162,yellow,0.2,82,FALSE
70.940645,177.065713,violet,0.74,30,TRUE
-83.552876,-91.587115,green,0.28,79,FALSE
-54.957685,179.675201,orange,0.5,32,TRUE
60.526577,-42.124737,violet,0.3,31,TRUE
71.076432,-66.179819,green,0.75,29,FALSE
42.636791,155.850672,green,0.03,32,TRUE
89.746024,-74.033405,yellow,0.28,11,FALSE
80.230896,7.44257,green,0.63,74,FALSE
39.044052,69.712681,orange,0.61,95,TRUE
32.740376,78.774576,orange,0.18,34,TRUE
18.298005,-90.073576,violet,0.64,8,TRUE
5.683273,-150.685061,violet,0.99,62,FALSE
-64.89604,75.500469,violet,0.87,53,FALSE
15.464566,-63.857459,indigo,0.34,53,TRUE
-41.808251,-160.392629,blue,0.79,67,TRUE
-82.933078,144.113092,indigo,0.74,16,FALSE
-82.02655,-9.882289,violet,0.03,6,TRUE
71.737456,-171.607528,red,0.78,72,TRUE
-87.571208,-56.494104,blue,0.72,72,TRUE
52.307737,97.545239,indigo,0.06,30,TRUE
-18.531402,57.607241,red,0.1,69,TRUE
-48.16551,98.096935,yellow,0.68,81,TRUE
-38.961849,79.598216,green,0.64,39,TRUE
-1.655229,-38.743564,orange,0.34,35,FALSE
-27.797009,-91.327787,green,0.01,8,FALSE
-82.483004,-131.117874,orange,0.77,78,FALSE
-57.968614,-147.754526,red,0.14,89,TRUE
45.085457,-145.600906,yellow,0.27,71,TRUE
12.709169,-99.705844,orange,0.48,31,TRUE
77.650769,-60.823715,green,0.14,96,TRUE
-79.446529,-88.853975,red,0.22,64,TRUE
30.820773,17.214522,indigo,0.18,59,TRUE
-17.412547,133.262393,green,0.84,51,TRUE
-23.059232,-27.146825,orange,0.26,50,TRUE
-37.528618,-52.022314,orange,0.63,73,TRUE
-16.269473,-127.567369,blue,0.91,99,FALSE
21.875818,61.781381,red,0.14,94,FALSE
-48.418198,-25.654446,violet,0.81,52,FALSE
61.507333,73.042499,red,0.25,71,FALSE
-84.082532,-165.527557,red,0.89,60,FALSE
-11.452323,45.771963,violet,0.87,98,TRUE
-67.767582,63.702249,yellow,0.16,21,TRUE
-83.642492,-29.729357,blue,0.12,52,TRUE
36.393983,125.115963,red,0.95,36,FALSE
89.348137,118.199152,blue,0.6,87,FALSE
84.940892,-92.846267,orange,0.28,28,FALSE
25.871294,144.014137,green,0.06,25,FALSE
40.147737,71.344941,green,0.66,30,TRUE
-86.25824,48.234283,red,0.96,68,FALSE
8.480689,26.31442,green,0.19,79,TRUE
77.480326,-31.439069,orange,0.32,13,TRUE
21.690884,-172.316887,yellow,0.42,53,TRUE
-65.143888,-165.125611,indigo,0.6,44,TRUE
75.229215,48.966291,blue,0.33,63,TRUE
26.478974,-127.229249,yellow,0.67,0,TRUE
-56.171669,-79.025105,red,0.13,78,TRUE
-66.268292,-133.884538,indigo,0.39,10,TRUE
29.196123,136.694765,blue,0.07,34,TRUE
56.280429,131.353376,orange,0.83,60,FALSE
-89.199303,35.509363,red,0.25,59,FALSE
-17.555425,149.620389,yellow,0.5,86,TRUE
-17.564481,26.318396,orange,0.62,51,FALSE
12.163116,-138.487508,green,0.68,90,TRUE
82.272219,-118.598258,red,0.25,80,TRUE
-30.975816,179.842155,yellow,0.19,49,TRUE
84.311082,21.812173,indigo,0.15,43,FALSE
-85.731575,55.653786,red,0.98,9,FALSE
37.360788,79.626082,yellow,0.04,44,FALSE
-88.033829,-28.143379,violet,0.38,38,TRUE
-86.348821,-73.969776,blue,0.45,89,TRUE
-19.974245,-88.77278,violet,0.03,21,TRUE
-37.040529,-164.128472,green,0.69,9,TRUE
-39.223118,20.682809,green,0.44,54,TRUE
-17.476915,43.870059,red,0.32,47,TRUE
34.99941,-13.451648,violet,0.48,43,FALSE
42.379349,-32.425171,green,0.12,55,TRUE
-10.93665,1.044169,violet,0.81,28,TRUE
46.479993,145.796671,blue,0.61,77,FALSE
-85.958302,146.438392,indigo,0.09,67,FALSE
-51.569429,70.201582,indigo,0.12,18,TRUE
-27.737625,46.3635,green,0.05,59,FALSE
8.49938,-157.216059,blue,0.75,93,FALSE
-88.907064,102.295143,blue,0.22,11,FALSE
21.953445,5.540735,violet,0.65,89,TRUE
28.758415,-22.93953,green,0.03,7,FALSE
-3.270519,94.396314,violet,0.8,58,FALSE
-13.972257,131.412348,blue,0,73,FALSE
-56.884676,97.19224,red,0.6,75,TRUE
34.212761,54.298644,violet,0.13,9,FALSE
43.606153,153.689763,indigo,0.53,73,FALSE
86.993462,157.028874,indigo,0.59,5,FALSE
33.921418,81.554328,yellow,0.71,54,TRUE
33.388636,145.551996,indigo,0.79,72,FALSE
41.337786,-64.095098,indigo,0.75,83,TRUE
-20.816183,-24.942901,violet,0.06,20,TRUE
56.724665,-58.995143,green,0.38,24,FALSE
-59.777125,3.427239,violet,0.95,32,FALSE
68.28124,156.404607,orange,0.63,68,FALSE
-2.104794,-116.448814,indigo,0.27,45,FALSE
33.123078,88.817899,indigo,0.52,51,FALSE
35.661889,94.023383,orange,0.11,0,TRUE
-55.27067,-72.15581,orange,0.39,93,FALSE
38.833313,79.103534,red,0.28,59,FALSE
6.138553,-103.616735,red,0.07,4,TRUE
14.575126,-12.11743,orange,0.63,88,FALSE
76.315497,-118.74302,orange,0.63,82,FALSE
